Title,Content,Date,Country,Link
Congo president turned down predecessor's PM pick -sources,"KINSHASA/BRUSSELS (Reuters) - Former Congolese President Joseph Kabila wanted his successor, Felix Tshisekedi, to appoint Albert Yuma, a Kabila ally and chairman of state mining company Gecamines, as prime minister, but Tshisekedi refused, sources familiar with the matter said.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=VnXhuUvvDKs:p_5ONYWukPo:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=VnXhuUvvDKs:p_5ONYWukPo:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=VnXhuUvvDKs:p_5ONYWukPo:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=VnXhuUvvDKs:p_5ONYWukPo:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=VnXhuUvvDKs:p_5ONYWukPo:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/VnXhuUvvDKs"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 10:19:15 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/VnXhuUvvDKs/idAFKCN1RL14J-OZATP
Tripoli hospitals report 47 dead in recent fighting - U.N,"TRIPOLI/GENEVA (Reuters) - Health facilities near Tripoli have reported 47 people killed and 181 wounded in recent days as eastern forces seek to take Libya's capital from an internationally-recognised government, the United Nations' health body said on Tuesday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=ZEyriQN5hAs:ayT8Sl-3VeA:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=ZEyriQN5hAs:ayT8Sl-3VeA:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=ZEyriQN5hAs:ayT8Sl-3VeA:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=ZEyriQN5hAs:ayT8Sl-3VeA:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=ZEyriQN5hAs:ayT8Sl-3VeA:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/ZEyriQN5hAs"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 10:15:07 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/ZEyriQN5hAs/idAFKCN1RL142-OZATP
Algeria's parliament appoints Abdelkader Bensalah as interim president - witness,"ALGIERS (Reuters) - Algeria's parliament appointed on Tuesday the upper house chairman Abdelkader Bensalah as interim president for the next 90 days following the resignation of Abdelaziz Bouteflika, a Reuters withness said.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=Jjz5cBLPQLU:AVIxeH_hn8Y:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=Jjz5cBLPQLU:AVIxeH_hn8Y:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=Jjz5cBLPQLU:AVIxeH_hn8Y:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=Jjz5cBLPQLU:AVIxeH_hn8Y:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=Jjz5cBLPQLU:AVIxeH_hn8Y:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/Jjz5cBLPQLU"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 09:53:05 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/Jjz5cBLPQLU/idAFKCN1RL10V-OZATP
"Battle rages for Libya's capital, airport bombed","TRIPOLI/BENGHAZI, Libya (Reuters) - A warplane attacked Tripoli's only functioning airport on Monday as eastern forces advancing on the Libyan capital disregarded international appeals for a truce in the latest of a cycle of warfare since Muammar Gaddafi's fall in 2011.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=zK2hr_45dS4:SlZe0j1rJ0o:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=zK2hr_45dS4:SlZe0j1rJ0o:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=zK2hr_45dS4:SlZe0j1rJ0o:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=zK2hr_45dS4:SlZe0j1rJ0o:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=zK2hr_45dS4:SlZe0j1rJ0o:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/zK2hr_45dS4"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 07:59:26 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/zK2hr_45dS4/idAFKCN1RL0RQ-OZATP
"U.S. tourist, guide kidnapped in Uganda freed after 'settlement' -tour firm","KAMPALA (Reuters) - An American tourist and her guide who were abducted in Uganda last week were released after a ""negotiated settlement"" was reached with the kidnappers, the firm that organised her safari told Reuters on Monday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=O33B65DxAMI:XNM8t0RQAs0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=O33B65DxAMI:XNM8t0RQAs0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=O33B65DxAMI:XNM8t0RQAs0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=O33B65DxAMI:XNM8t0RQAs0:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=O33B65DxAMI:XNM8t0RQAs0:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/O33B65DxAMI"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 07:35:47 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/O33B65DxAMI/idAFKCN1RL0QE-OZATP
Sudanese army blocks attempt to disperse protesters -witnesses,"KHARTOUM (Reuters) - Sudanese soldiers intervened to protect several thousand demonstrators calling for an end to President Omar al-Bashir's rule on Monday after security forces tried to break up the sit-in, witnesses and activists said.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=jHD879M1skQ:LSUb-ENd1Cs:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=jHD879M1skQ:LSUb-ENd1Cs:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=jHD879M1skQ:LSUb-ENd1Cs:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=jHD879M1skQ:LSUb-ENd1Cs:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=jHD879M1skQ:LSUb-ENd1Cs:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/jHD879M1skQ"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 07:33:09 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/jHD879M1skQ/idAFKCN1RL0Q6-OZATP
"Cyclone Idai's death toll stands at 847, cholera cases rise","BEIRA, Mozambique (Reuters) - Hundreds of thousands of people are in need of food, water and shelter after Cyclone Idai battered Mozambique, Zimbabwe and Malawi.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=rVKlK6s-wPw:GaIDfd2C6m0:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=rVKlK6s-wPw:GaIDfd2C6m0:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=rVKlK6s-wPw:GaIDfd2C6m0:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=rVKlK6s-wPw:GaIDfd2C6m0:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=rVKlK6s-wPw:GaIDfd2C6m0:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/rVKlK6s-wPw"" height=""1"" width=""1"" alt=""""/>","Tue, 09 Apr 2019 06:55:29 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/rVKlK6s-wPw/idAFKCN1RL0LH-OZATP
Seven people killed over two days during protests in Sudan - interior minister,"KHARTOUM (Reuters) - Six people were killed in the Sudanese capital Khartoum during protests on Saturday and Sunday and one more died in the western region of Darfur, the interior minister told parliament.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=HoUptI_39AY:zXHF56OgiKI:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=HoUptI_39AY:zXHF56OgiKI:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=HoUptI_39AY:zXHF56OgiKI:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=HoUptI_39AY:zXHF56OgiKI:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=HoUptI_39AY:zXHF56OgiKI:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/HoUptI_39AY"" height=""1"" width=""1"" alt=""""/>","Mon, 08 Apr 2019 14:07:35 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/HoUptI_39AY/idAFKCN1RK1LL-OZATP
Libyan death toll rises as battle for Tripoli intensifies,"TRIPOLI/BENGHAZI, Libya (Reuters) - Eastern Libyan forces sought to reach the centre of Tripoli on Monday after their easy advance through desert hit a trickier urban phase, with deaths and displacements mounting and the West aghast at the threat to its peace plan.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=K8BGji8fNmI:iL7kXAqY4vw:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=K8BGji8fNmI:iL7kXAqY4vw:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=K8BGji8fNmI:iL7kXAqY4vw:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=K8BGji8fNmI:iL7kXAqY4vw:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=K8BGji8fNmI:iL7kXAqY4vw:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/K8BGji8fNmI"" height=""1"" width=""1"" alt=""""/>","Mon, 08 Apr 2019 13:41:58 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/K8BGji8fNmI/idAFKCN1RK12P-OZATP
S.African court says Mozambique ex-finance minister can be extradited to US -lawyer,"JOHANNESBURG (Reuters) - A South African court has ruled that Mozambique's former finance minister Manuel Chang can be extradited to the United States, where he is wanted on charges related to a $2 billion debt scandal, one of Chang's lawyers said on Monday.<div class=""feedflare"">
<a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=GTEK2Pw7G0A:x92pW4_LiGQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=GTEK2Pw7G0A:x92pW4_LiGQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=GTEK2Pw7G0A:x92pW4_LiGQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AFRICATopNews?a=GTEK2Pw7G0A:x92pW4_LiGQ:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AFRICATopNews?i=GTEK2Pw7G0A:x92pW4_LiGQ:F7zBnMyn0Lo"" border=""0""></img></a>
</div><img src=""http://feeds.feedburner.com/~r/reuters/AFRICATopNews/~4/GTEK2Pw7G0A"" height=""1"" width=""1"" alt=""""/>","Mon, 08 Apr 2019 11:35:01 +0000","
    Reuters: Top News",http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/GTEK2Pw7G0A/idAFKCN1RK1AB-OZATP
