,title,content,date,link,tags,location,organisation,longitude,latitude,lat,long
0,['Tripoli hospitals report 47 dead in recent fighting - U.N'],  TRIPOLI GENEVA  Reuters    Health facilities near Tripoli have reported 47 people killed and 181 wounded in recent days as eastern forces seek to take Libya  s capital from an internationally recognised government  the United Nations   health body said on Tuesday  n   n  ,"['Tue, 09 Apr 2019 10:15:07 +0000']",['http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/ZEyriQN5hAs/idAFKCN1RL142-OZATP'],['kill'],"[Tripoli, Libya]",[United Nations],"[13.1777923, 18.1236723]","[32.896672, 26.8234472]",32.896672,13.1777923
1,"[""Battle rages for Libya's capital, airport bombed""]",  TRIPOLI BENGHAZI  Libya  Reuters    A warplane attacked Tripoli  s only functioning airport on Monday as eastern forces advancing on the Libyan capital disregarded international appeals for a truce in the latest of a cycle of warfare since Muammar Gaddafi  s fall in 2011  n   n  ,"['Tue, 09 Apr 2019 07:59:26 +0000']",['http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/zK2hr_45dS4/idAFKCN1RL0RQ-OZATP'],['attack'],"[Libya, Tripoli]",[],"[18.1236723, 13.1777923]","[26.8234472, 32.896672]",26.8234472,18.1236723
2,['Sudanese army blocks attempt to disperse protesters -witnesses'],  KHARTOUM  Reuters    Sudanese soldiers intervened to protect several thousand demonstrators calling for an end to President Omar al Bashir  s rule on Monday after security forces tried to break up the sit in  witnesses and activists said  n   n  ,"['Tue, 09 Apr 2019 07:33:09 +0000']",['http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/jHD879M1skQ/idAFKCN1RL0Q6-OZATP'],"['demonstr', 'secur']",[],[],[],[],0.0,0.0
3,['Seven people killed over two days during protests in Sudan - interior minister'],  KHARTOUM  Reuters    Six people were killed in the Sudanese capital Khartoum during protests on Saturday and Sunday and one more died in the western region of Darfur  the interior minister told parliament  n   n  ,"['Mon, 08 Apr 2019 14:07:35 +0000']",['http://feeds.reuters.com/~r/reuters/AFRICATopNews/~3/HoUptI_39AY/idAFKCN1RK1LL-OZATP'],['kill'],"[Khartoum, Darfur]",[],"[32.53565, -94.8380398]","[15.593325, 44.0513467]",15.593325,32.53565
4,['UPDATE 3-Soccer-Burundi qualify for first African Cup of Nations finals'],    Cameroon  Guinea Bissau and Namibia secure berths in finals n   n  ,"['Sat, 23 Mar 2019 21:19:18 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/hWwos-yCKm0/idAFL8N21A0M9'],['secur'],[Namibia],[],[17.3231107],[-23.2335499],-23.2335499,17.3231107
5,['Congo Ebola centre in flames after another armed attack'],  GOMA  Democratic Republic of Congo  Feb 27  Reuters    Armed nassailants attacked an Ebola centre in eastern Democratic nRepublic of Congo on Wednesday  setting off a fire and becoming nembroiled in an extended gunbattle with security forces that has nyet to end  the local mayer said  n   n  ,"['Wed, 27 Feb 2019 18:28:42 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/A5nsFJ3Btag/idAFL5N20M7R4'],"['attack', 'fire', 'secur']",[Congo],[],[15.6419155],[-0.7264327],-0.7264327,15.6419155
6,['Knock-on effects of war kill 300 babies every day - charity'],  LONDON  Feb 15  Thomson Reuters Foundation    Starvation  ndisease and a lack of aid are killing 300 babies a day in nwarzones around the world  with the number of children caught up nin conflicts nearing a 30 year high  Save the Children said on nFriday  n   n  ,"['Fri, 15 Feb 2019 00:01:00 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/2XLra90H3eA/idAFL5N2083AU'],['kill'],[LONDON],"[Thomson Reuters Foundation, nFriday]",[-0.1276474],[51.5073219],51.5073219,-0.1276474
7,['UPDATE 1-Tripoli hospitals report 47 dead in recent fighting - U.N.'],  TRIPOLI GENEVA  April 9  Reuters    Health facilities near nTripoli have reported 47 people killed and 181 wounded in recent ndays as eastern forces seek to take Libya  s capital from an ninternationally recognised government  the United Nations   nhealth body said on Tuesday  n   n  ,"['Tue, 09 Apr 2019 10:02:20 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/NKwwU8T4zeQ/idAFL8N21R2KG'],['kill'],[Libya],"[nTripoli, United Nations]",[18.1236723],[26.8234472],26.8234472,18.1236723
8,['Tripoli hospitals report 47 dead in recent fighting - U.N.'],  GENEVA  April 9  Reuters    Health facilities near Tripoli nhave reported 47 people killed and 181 wounded in recent days as neastern forces seek to take Libya  s capital from an ninternationally recognised government  the United Nations   nhealth body said on Tuesday  n   n  ,"['Tue, 09 Apr 2019 09:37:10 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/pYc_OQrOd54/idAFL8N21R2A9'],['kill'],"[Tripoli, Libya]",[United Nations],"[13.1777923, 18.1236723]","[32.896672, 26.8234472]",32.896672,13.1777923
9,['Sudanese security forces in fresh attempt to clear protesters outside Defence Ministry -witnesses'],  KHARTOUM  April 9  Reuters    Sudanese security forces  nfiring shots into the air  launched a new attempt on Tuesday to ndisperse anti government protesters camping outside the defence nministry  witnesses said  n   n  ,"['Tue, 09 Apr 2019 08:15:20 +0000']",['http://feeds.reuters.com/~r/reuters/AfricaEgyptNews/~3/wMG5oMp4hUg/idAFL8N21R0Y6'],['secur'],[],[],[],[],0.0,0.0
